Edge name,Node A,Node B,X of A,Y of A,X of B,Y of B,Avg Speed,Med Speed
356,502,520,-87.6872206971,41.9103208679,-87.6878706559,41.9171295942,22.798533119413246,24.0
357,520,250,-87.6878706559,41.9171295942,-87.6876419126,41.9249006821,25.535984414393766,26.0
358,250,347,-87.6876419126,41.9249006821,-87.6877498545,41.9279818073,19.057261822903964,19.5
359,347,456,-87.6877498545,41.9279818073,-87.6878846477,41.9321679414,18.143364657345863,18.0
360,456,238,-87.6878846477,41.9321679414,-87.688164821,41.9394608157,27.024868209947282,28.0
361,238,237,-87.688164821,41.9394608157,-87.6882577202,41.946730809,21.034838413935365,22.33333333
362,237,495,-87.6882577202,41.946730809,-87.688466237,41.9540127406,25.893078157231262,26.5
363,495,282,-87.688466237,41.9540127406,-87.6886829943,41.9613128481,26.332569333027735,27.0
364,282,281,-87.6886829943,41.9613128481,-87.6889065808,41.9686149246,20.32145312858125,20.0
365,281,240,-87.6889065808,41.9686149246,-87.6891506986,41.9758915418,25.072541829016732,25.0
366,240,165,-87.6891506986,41.9758915418,-87.6894483335,41.9831676866,26.18748567499427,27.0
367,165,427,-87.6894483335,41.9831676866,-87.6896878167,41.9904812394,27.64049965619986,28.61538462
368,330,423,-87.6813877158,41.6990789604,-87.6811591434,41.6918107595,28.20796289371075,28.50526316
369,358,330,-87.6816203656,41.7063763231,-87.6813877158,41.6990789604,27.738904906087555,27.0
370,208,358,-87.681843365,41.7136737862,-87.6816203656,41.7063763231,21.534036213614485,22.3062458
371,390,208,-87.6820559707,41.7209458137,-87.681843365,41.7136737862,25.492321796928717,26.0
372,157,390,-87.6822996518,41.7282296739,-87.6820559707,41.7209458137,28.108870043548016,29.0
373,476,157,-87.6825140358,41.7355272847,-87.6822996518,41.7282296739,34.49747879899152,34.0
374,201,476,-87.6826792223,41.7428157102,-87.6825140358,41.7355272847,28.033348613339445,27.59245283
375,487,201,-87.6827999089,41.7500768239,-87.6826792223,41.7428157102,25.01272060508824,25.0
376,293,487,-87.6831024809,41.7592321214,-87.6827999089,41.7500768239,30.038047215218885,30.5
377,322,293,-87.683242683,41.764702213,-87.6831024809,41.7592321214,26.084116433646575,27.0
378,321,322,-87.6834442361,41.771977615,-87.683242683,41.764702213,23.50320880128352,24.0
379,269,321,-87.6836393491,41.7792160138,-87.6834442361,41.771977615,24.231950492780197,25.0
380,191,269,-87.6838306032,41.7865287214,-87.6836393491,41.7792160138,24.199060279624113,25.0
