Knoten1,Knoten2,Zähler,Zähler_normalisiert
440,285,2,0.9996886674968867
285,168,2,0.9996886674968867
168,167,2,0.9996886674968867
167,397,2,0.9996886674968867
397,292,2,0.9996886674968867
292,408,2,0.9996886674968867
408,91,2,0.9996886674968867
91,92,2,0.9996886674968867
92,259,2,0.9996886674968867
259,384,2,0.9996886674968867
384,200,2,0.9996886674968867
200,199,2,0.9996886674968867
199,420,2,0.9996886674968867
420,192,2,0.9996886674968867
192,193,2,0.9996886674968867
193,300,2,0.9996886674968867
300,427,2,0.9996886674968867
427,399,2,0.9996886674968867
399,141,2,0.9996886674968867
141,510,2,0.9996886674968867
510,108,2,0.9996886674968867
108,107,2,0.9996886674968867
107,111,2,0.9996886674968867
111,239,2,0.9996886674968867
239,217,2,0.9996886674968867
217,426,2,0.9996886674968867
512,382,13,0.9979763387297634
382,501,13,0.9979763387297634
504,207,4,0.9993773349937733
207,490,4,0.9993773349937733
162,3,96,0.9850560398505604
472,191,9,0.9985990037359901
191,269,9,0.9985990037359901
269,321,9,0.9985990037359901
321,322,9,0.9985990037359901
322,293,9,0.9985990037359901
293,487,9,0.9985990037359901
502,520,5,0.9992216687422167
387,12,1,0.9998443337484434
12,443,1,0.9998443337484434
162,4,96,0.9850560398505604
475,387,1,0.9998443337484434
21,435,12,0.99813200498132
435,23,7,0.9989103362391034
23,15,3,0.9995330012453301
23,536,4,0.9993773349937733
162,5,95,0.9852117061021171
501,492,4,0.9993773349937733
162,6,91,0.9858343711083437
531,488,1,0.9998443337484434
445,515,1,0.9998443337484434
162,7,94,0.9853673723536738
485,227,5,0.9992216687422167
227,185,5,0.9992216687422167
185,186,5,0.9992216687422167
186,19,5,0.9992216687422167
19,458,3,0.9995330012453301
489,485,1,0.9998443337484434
19,506,2,0.9996886674968867
162,8,95,0.9852117061021171
435,537,5,0.9992216687422167
532,505,2,0.9996886674968867
513,188,2,0.9996886674968867
188,485,2,0.9996886674968867
162,9,96,0.9850560398505604
162,10,96,0.9850560398505604
536,516,4,0.9993773349937733
162,11,96,0.9850560398505604
462,404,1,0.9998443337484434
404,507,1,0.9998443337484434
446,445,1,0.9998443337484434
162,12,96,0.9850560398505604
162,13,96,0.9850560398505604
162,14,95,0.9852117061021171
496,482,1,0.9998443337484434
500,309,1,0.9998443337484434
309,463,1,0.9998443337484434
162,15,93,0.9855230386052304
162,16,94,0.9853673723536738
530,533,1,0.9998443337484434
162,17,96,0.9850560398505604
437,22,1,0.9998443337484434
528,438,1,0.9998443337484434
162,18,96,0.9850560398505604
162,19,96,0.9850560398505604
520,250,1,0.9998443337484434
250,347,1,0.9998443337484434
347,456,1,0.9998443337484434
162,20,93,0.9855230386052304
162,21,88,0.9863013698630136
462,368,2,0.9996886674968867
368,433,2,0.9996886674968867
433,346,2,0.9996886674968867
346,468,2,0.9996886674968867
468,139,2,0.9996886674968867
139,374,2,0.9996886674968867
374,454,2,0.9996886674968867
454,187,2,0.9996886674968867
187,514,2,0.9996886674968867
162,22,94,0.9853673723536738
162,23,95,0.9852117061021171
162,24,96,0.9850560398505604
364,392,2,0.9996886674968867
476,201,1,0.9998443337484434
201,487,1,0.9998443337484434
162,25,95,0.9852117061021171
162,26,96,0.9850560398505604
162,27,93,0.9855230386052304
509,470,1,0.9998443337484434
452,387,1,0.9998443337484434
